Date Essai;14/11/2021;;;;;;;;
Heure Essai;10:21;;;;;;;;
Frequence (Hz);1000.0;;;;;;;;
Fonctionnement;Uhing;;;;;;;;
Type Pilotage;Creneau;;;;;;;;
Nb cycles;1;;;;;;;;
Duree de marche (s);5.00;;;;;;;;
Duree d'arret (s);1.00;;;;;;;;
Vitesse (tr/min);1000.0;;;;;;;;
 ;;;;;;;;;
Nb points de consigne;2001;;;;;;;;
dt consigne;0.003;;;;;;;;
Temps (s);Consigne (tr/min);Vitesse du moteur (tr/min);Vitesse lineaire (mm/s);Courant (A);Angle (deg);Vitesse lineaire calculee (mm/s);Vitesse de glissement (mm/s);Deplacement (mm);Pas (mm)
0.1360;1000.000;997.395;82.339;5.163;5.774;79.207;-3.131;9.098;4.765
0.1370;1000.000;997.395;82.339;5.237;5.774;79.207;-3.131;9.180;4.765
0.1380;1000.000;997.395;82.754;5.295;5.774;79.207;-3.547;9.263;4.765
0.1390;1000.000;997.395;82.339;5.503;5.757;78.979;-3.359;9.345;4.751
0.1400;1000.000;997.395;78.636;5.503;5.757;78.979;0.343;9.424;4.751
0.1410;1000.000;998.758;76.180;5.553;5.754;79.042;2.861;9.500;4.748
0.1420;1000.000;996.032;78.636;5.553;5.752;78.796;0.160;9.579;4.747
0.1430;1000.000;998.758;78.636;5.553;5.748;78.966;0.330;9.657;4.744
0.1440;1000.000;1002.262;82.036;5.553;5.742;79.151;-2.885;9.739;4.738
0.1450;1000.000;1002.262;78.334;5.497;5.730;78.983;0.649;9.818;4.728
0.1460;1000.000;999.828;82.036;5.322;5.730;78.791;-3.245;9.900;4.728
0.1470;1000.000;1002.068;82.036;5.289;5.730;78.968;-3.069;9.982;4.728
0.1480;1000.000;999.828;82.036;5.123;5.730;78.791;-3.245;10.064;4.728
0.1490;1000.000;1002.068;82.112;5.123;5.724;78.891;-3.220;10.146;4.724
0.1500;1000.000;999.828;82.112;5.123;5.724;78.715;-3.397;10.228;4.724
0.1510;1000.000;999.828;81.130;5.269;5.764;79.263;-1.866;10.309;4.757
0.1520;1000.000;1002.068;81.130;5.269;5.764;79.441;-1.689;10.390;4.757
0.1530;1000.000;1002.068;81.130;5.269;5.764;79.441;-1.689;10.472;4.757
0.1540;1000.000;1004.209;82.112;5.269;5.767;79.657;-2.455;10.554;4.759
0.1550;1000.000;1005.864;82.112;5.269;5.753;79.589;-2.523;10.636;4.747
0.1560;1000.000;1004.696;82.414;5.351;5.753;79.496;-2.918;10.718;4.747
0.1570;1000.000;1006.351;82.112;5.351;5.745;79.520;-2.592;10.800;4.741
0.1580;1000.000;1004.696;82.112;5.351;5.724;79.098;-3.013;10.882;4.724
0.1590;1000.000;1004.696;82.112;5.351;5.745;79.389;-2.723;10.965;4.741
0.1600;1000.000;1006.351;81.885;5.262;5.740;79.443;-2.442;11.046;4.737
